ano,entradas,saidas,presentes,entradas_mm_5,presentes_mm_5
1536,2.0,0.0,2.0,,
1537,201.0,0.0,203.0,,
1538,161.0,84.0,280.0,176.8,274.6
1539,33.0,95.0,218.0,185.0,333.8
1540,487.0,35.0,670.0,148.6,340.6
1541,43.0,415.0,298.0,120.6,327.6
1542,19.0,80.0,237.0,116.6,323.0
1543,21.0,43.0,215.0,20.4,224.0
1544,13.0,33.0,195.0,14.4,201.6
1545,6.0,26.0,175.0,14.6,195.4
1546,13.0,2.0,186.0,20.4,202.8
1547,20.0,0.0,206.0,37.6,231.6
1548,50.0,4.0,252.0,70.2,278.2
1549,99.0,12.0,339.0,87.0,319.2
1550,169.0,100.0,408.0,104.6,365.8
1551,97.0,114.0,391.0,112.2,408.2
1552,108.0,60.0,439.0,110.4,439.4
1553,88.0,63.0,464.0,95.6,462.4
1554,90.0,59.0,495.0,94.2,485.8
1555,95.0,67.0,523.0,93.2,501.0
1556,90.0,105.0,508.0,98.4,518.8
1557,103.0,96.0,515.0,92.6,527.6
1558,114.0,76.0,553.0,89.0,525.4
1559,61.0,75.0,539.0,84.0,523.4
1560,77.0,104.0,512.0,81.8,520.6
1561,65.0,79.0,498.0,79.2,509.2
1562,92.0,89.0,501.0,91.2,518.6
1563,101.0,106.0,496.0,92.0,535.4
1564,121.0,31.0,586.0,100.2,558.8
1565,81.0,71.0,596.0,104.6,590.0
1566,106.0,87.0,615.0,109.4,629.2
1567,114.0,72.0,657.0,100.8,645.2
1568,125.0,90.0,692.0,107.4,663.2
1569,78.0,104.0,666.0,110.2,682.6
1570,114.0,94.0,686.0,117.0,702.8
1571,120.0,94.0,712.0,155.4,758.2
1572,148.0,102.0,758.0,173.2,809.0
1573,317.0,106.0,969.0,168.8,840.8
1574,167.0,216.0,920.0,176.2,875.0
1575,92.0,167.0,845.0,208.6,938.0
1576,157.0,119.0,883.0,191.6,972.8
1577,310.0,120.0,1073.0,202.6,1024.8
1578,232.0,162.0,1143.0,207.8,1056.0
1579,222.0,185.0,1180.0,208.8,1088.8
1580,118.0,297.0,1001.0,187.6,1090.8
1581,162.0,116.0,1047.0,182.2,1082.2
1582,204.0,168.0,1083.0,141.8,1018.0
1583,205.0,188.0,1100.0,192.4,1045.8
1584,20.0,261.0,859.0,217.4,1077.8
1585,371.0,90.0,1140.0,236.0,1119.0
1586,287.0,220.0,1207.0,247.6,1161.8
1587,297.0,215.0,1289.0,304.2,1272.2
1588,263.0,238.0,1314.0,287.0,1338.4
1589,303.0,206.0,1411.0,278.4,1390.2
1590,285.0,225.0,1471.0,269.6,1423.8
1591,244.0,249.0,1466.0,270.2,1458.6
1592,253.0,262.0,1457.0,257.4,1471.6
1593,266.0,235.0,1488.0,251.8,1470.0
1594,239.0,251.0,1476.0,246.6,1458.6
1595,257.0,270.0,1463.0,242.8,1439.0
1596,218.0,272.0,1409.0,231.2,1402.2
1597,234.0,284.0,1359.0,200.4,1331.4
1598,208.0,263.0,1304.0,192.8,1281.4
1599,85.0,267.0,1122.0,190.8,1233.2
1600,219.0,128.0,1213.0,189.0,1196.8
1601,208.0,253.0,1168.0,190.6,1172.0
1602,225.0,216.0,1177.0,221.2,1188.0
1603,216.0,213.0,1180.0,220.2,1180.6
1604,238.0,216.0,1202.0,184.4,1136.2
1605,214.0,240.0,1176.0,209.4,1147.4
1606,29.0,259.0,946.0,210.8,1162.6
1607,350.0,63.0,1233.0,202.6,1167.6
1608,223.0,200.0,1256.0,208.4,1185.2
1609,197.0,226.0,1227.0,255.2,1258.2
1610,243.0,206.0,1264.0,232.8,1271.6
1611,263.0,216.0,1311.0,244.8,1289.8
1612,238.0,249.0,1300.0,260.0,1317.6
1613,283.0,236.0,1347.0,266.6,1349.6
1614,273.0,254.0,1366.0,269.8,1377.2
1615,276.0,218.0,1424.0,275.6,1400.0
1616,279.0,254.0,1449.0,265.6,1401.0
1617,267.0,302.0,1414.0,260.4,1386.2
1618,233.0,295.0,1352.0,267.2,1369.2
1619,247.0,307.0,1292.0,273.0,1365.4
1620,310.0,263.0,1339.0,274.2,1369.2
1621,308.0,217.0,1430.0,288.8,1401.0
1622,273.0,270.0,1433.0,298.6,1454.2
1623,306.0,228.0,1511.0,314.0,1519.0
1624,296.0,249.0,1558.0,321.2,1556.4
1625,387.0,282.0,1663.0,325.8,1579.0
1626,344.0,390.0,1617.0,321.4,1576.0
1627,296.0,367.0,1546.0,315.0,1549.6
1628,284.0,334.0,1496.0,287.6,1497.4
1629,264.0,334.0,1426.0,264.6,1447.4
1630,250.0,274.0,1402.0,260.4,1406.0
1631,229.0,264.0,1367.0,248.0,1353.4
1632,275.0,303.0,1339.0,239.4,1311.2
1633,222.0,328.0,1233.0,233.0,1268.6
1634,221.0,239.0,1215.0,229.8,1227.6
1635,218.0,244.0,1189.0,216.2,1190.0
1636,213.0,240.0,1162.0,203.8,1165.2
1637,207.0,218.0,1151.0,206.4,1149.8
1638,160.0,202.0,1109.0,210.6,1144.8
1639,234.0,205.0,1138.0,221.6,1145.0
1640,239.0,213.0,1164.0,237.2,1166.4
1641,268.0,269.0,1163.0,250.0,1193.6
1642,285.0,190.0,1258.0,248.2,1214.6
1643,224.0,237.0,1245.0,239.0,1222.6
1644,225.0,227.0,1243.0,237.6,1243.6
1645,193.0,232.0,1204.0,223.0,1251.6
1646,261.0,197.0,1268.0,223.4,1255.6
1647,212.0,182.0,1298.0,230.6,1268.6
1648,226.0,259.0,1265.0,247.0,1290.8
1649,261.0,218.0,1308.0,254.4,1291.6
1650,275.0,268.0,1315.0,273.6,1286.0
1651,298.0,341.0,1272.0,302.2,1297.2
1652,308.0,310.0,1270.0,310.8,1302.2
1653,369.0,318.0,1321.0,314.4,1310.8
1654,304.0,292.0,1333.0,311.6,1322.6
1655,293.0,268.0,1358.0,312.4,1339.2
1656,284.0,311.0,1331.0,297.2,1351.6
1657,312.0,290.0,1353.0,294.0,1365.2
1658,293.0,263.0,1383.0,293.6,1367.4
1659,288.0,270.0,1401.0,281.8,1352.0
1660,291.0,323.0,1369.0,253.6,1313.0
1661,225.0,340.0,1254.0,240.8,1263.8
1662,171.0,267.0,1158.0,238.2,1218.8
1663,229.0,250.0,1137.0,227.2,1176.2
1664,275.0,236.0,1176.0,218.2,1148.8
1665,236.0,256.0,1156.0,222.4,1142.8
1666,180.0,219.0,1117.0,207.0,1132.2
1667,192.0,181.0,1128.0,189.4,1117.2
1668,152.0,196.0,1084.0,195.8,1118.8
1669,187.0,170.0,1101.0,214.2,1143.6
1670,268.0,205.0,1164.0,231.6,1183.4
1671,272.0,195.0,1241.0,258.2,1244.4
1672,279.0,193.0,1327.0,277.8,1317.4
1673,285.0,223.0,1389.0,293.4,1404.8
1674,285.0,208.0,1466.0,300.6,1488.8
1675,346.0,211.0,1601.0,324.2,1588.2
1676,308.0,248.0,1661.0,339.2,1692.8
1677,397.0,234.0,1824.0,353.8,1800.4
1678,360.0,272.0,1912.0,376.6,1908.6
1679,358.0,266.0,2004.0,386.0,2007.4
1680,460.0,322.0,2142.0,385.0,2082.8
1681,355.0,342.0,2155.0,389.8,2130.2
1682,392.0,346.0,2201.0,391.6,2181.2
1683,384.0,436.0,2149.0,366.4,2187.2
1684,367.0,257.0,2259.0,366.4,2192.4
1685,334.0,421.0,2172.0,355.4,2180.0
1686,355.0,346.0,2181.0,360.6,2181.6
1687,337.0,379.0,2139.0,357.6,2156.4
1688,410.0,392.0,2157.0,365.0,2141.6
1689,352.0,376.0,2133.0,358.2,2109.4
1690,371.0,406.0,2098.0,363.0,2095.6
1691,321.0,399.0,2020.0,358.0,2089.8
1692,361.0,311.0,2070.0,373.0,2100.6
1693,385.0,327.0,2128.0,370.6,2108.2
1694,427.0,368.0,2187.0,394.2,2133.2
1695,359.0,410.0,2136.0,403.4,2151.4
1696,439.0,430.0,2145.0,397.6,2148.4
1697,407.0,391.0,2161.0,385.0,2129.0
1698,356.0,404.0,2113.0,395.6,2124.4
1699,364.0,387.0,2090.0,380.8,2115.2
1700,412.0,389.0,2113.0,392.2,2117.2
1701,365.0,379.0,2099.0,415.2,2133.4
1702,464.0,392.0,2171.0,423.8,2139.4
1703,471.0,448.0,2194.0,420.0,2132.6
1704,407.0,481.0,2120.0,440.2,2147.6
1705,393.0,434.0,2079.0,423.0,2141.0
1706,466.0,371.0,2174.0,421.4,2141.8
1707,378.0,414.0,2138.0,429.8,2169.6
1708,463.0,403.0,2198.0,433.6,2191.6
1709,449.0,388.0,2259.0,414.2,2181.8
1710,412.0,482.0,2189.0,396.6,2146.0
1711,369.0,433.0,2125.0,361.2,2104.0
1712,290.0,456.0,1959.0,345.2,2072.4
1713,286.0,257.0,1988.0,325.8,2043.2
1714,369.0,256.0,2101.0,314.4,2012.4
1715,315.0,373.0,2043.0,332.8,2025.4
1716,312.0,384.0,1971.0,362.4,2049.6
1717,382.0,329.0,2024.0,393.0,2090.2
1718,434.0,349.0,2109.0,420.6,2148.8
1719,522.0,327.0,2304.0,456.6,2241.6
1720,453.0,421.0,2336.0,498.8,2366.6
1721,492.0,393.0,2435.0,507.8,2473.6
1722,593.0,379.0,2649.0,505.8,2566.0
1723,479.0,484.0,2644.0,528.0,2682.8
1724,512.0,390.0,2766.0,551.6,2806.8
1725,564.0,410.0,2920.0,528.8,2892.2
1726,610.0,475.0,3055.0,550.2,2992.2
1727,479.0,458.0,3076.0,598.4,3115.6
1728,586.0,518.0,3144.0,598.0,3210.8
1729,753.0,514.0,3383.0,596.8,3287.2
1730,562.0,549.0,3396.0,621.6,3358.0
1731,604.0,563.0,3437.0,611.6,3393.0
1732,603.0,610.0,3430.0,589.0,3395.2
1733,536.0,647.0,3319.0,627.4,3446.8
1734,640.0,565.0,3394.0,627.0,3473.8
1735,754.0,494.0,3654.0,647.8,3526.2
1736,602.0,684.0,3572.0,659.8,3577.2
1737,707.0,587.0,3692.0,622.2,3554.0
1738,596.0,714.0,3574.0,580.2,3464.4
1739,452.0,748.0,3278.0,586.6,3401.4
1740,544.0,616.0,3206.0,536.6,3280.4
1741,634.0,583.0,3257.0,532.2,3184.8
1742,457.0,627.0,3087.0,560.8,3157.2
1743,574.0,565.0,3096.0,561.8,3135.0
1744,595.0,551.0,3140.0,535.6,3100.8
1745,549.0,594.0,3095.0,533.6,3099.2
1746,503.0,512.0,3086.0,518.4,3094.2
1747,447.0,454.0,3079.0,509.0,3085.0
1748,498.0,506.0,3071.0,568.6,3156.0
1749,548.0,525.0,3094.0,566.2,3194.4
1750,847.0,491.0,3450.0,595.4,3251.8
1751,491.0,663.0,3278.0,597.6,3241.4
1752,593.0,505.0,3366.0,609.2,3275.8
1753,509.0,856.0,3019.0,556.2,3229.4
1754,606.0,359.0,3266.0,588.6,3218.6
1755,582.0,630.0,3218.0,589.4,3191.0
1756,653.0,647.0,3224.0,601.4,3248.0
1757,597.0,593.0,3228.0,579.0,3250.8
1758,569.0,493.0,3304.0,580.2,3262.0
1759,494.0,518.0,3280.0,603.8,3316.4
1760,588.0,594.0,3274.0,619.8,3279.8
1761,771.0,549.0,3496.0,684.2,3322.8
1762,677.0,1128.0,3045.0,850.0,3572.8
1763,891.0,417.0,3519.0,970.0,3963.6
1764,1323.0,312.0,4530.0,904.8,4263.4
1765,1188.0,490.0,5228.0,842.2,4587.4
1766,445.0,678.0,4995.0,759.4,4767.0
1767,364.0,694.0,4665.0,591.6,4676.6
1768,477.0,725.0,4417.0,460.4,4345.4
1769,484.0,823.0,4078.0,387.2,3660.4
1770,532.0,1038.0,3572.0,343.2,2874.4
1771,79.0,2081.0,1570.0,265.2,2146.0
1772,144.0,979.0,735.0,191.8,1483.4
1773,87.0,47.0,775.0,106.4,928.8
1774,117.0,127.0,765.0,128.4,796.4
1775,105.0,71.0,799.0,123.0,818.8
1776,189.0,80.0,908.0,127.4,818.0
1777,117.0,178.0,847.0,144.8,827.4
1778,109.0,185.0,771.0,157.6,837.4
1779,204.0,163.0,812.0,148.4,826.2
1780,169.0,132.0,849.0,159.8,834.6
1781,143.0,140.0,852.0,178.8,864.4
1782,174.0,137.0,889.0,179.2,898.6
1783,204.0,173.0,920.0,181.6,924.4
1784,206.0,143.0,983.0,184.0,946.4
1785,181.0,186.0,978.0,181.8,961.4
1786,155.0,171.0,962.0,173.0,968.4
1787,163.0,161.0,964.0,177.4,972.2
1788,160.0,169.0,955.0,193.0,996.2
1789,228.0,181.0,1002.0,192.8,1011.8
1790,259.0,163.0,1098.0,199.4,1035.6
1791,154.0,212.0,1040.0,202.8,1061.0
1792,196.0,153.0,1083.0,213.0,1114.8
1793,177.0,178.0,1082.0,203.8,1132.8
1794,279.0,90.0,1271.0,221.0,1182.0
1795,213.0,296.0,1188.0,219.0,1210.4
1796,240.0,142.0,1286.0,221.6,1223.6
1797,186.0,247.0,1225.0,209.4,1200.0
1798,190.0,267.0,1148.0,208.0,1180.0
1799,218.0,213.0,1153.0,196.2,1129.0
1800,206.0,271.0,1088.0,191.8,1082.4
1801,181.0,238.0,1031.0,177.2,1035.0
1802,164.0,203.0,992.0,167.8,981.0
1803,117.0,198.0,911.0,155.4,936.0
1804,171.0,199.0,883.0,149.6,868.2
1805,144.0,164.0,863.0,142.0,798.4
1806,152.0,323.0,692.0,132.2,726.6
1807,126.0,175.0,643.0,109.6,635.0
1808,68.0,159.0,552.0,86.8,546.2
1809,58.0,185.0,425.0,69.0,485.2
1810,30.0,36.0,419.0,67.8,455.2
1811,63.0,95.0,387.0,89.4,458.4
1812,120.0,14.0,493.0,136.4,524.6
1813,176.0,101.0,568.0,186.0,625.4
1814,293.0,105.0,756.0,221.8,754.6
1815,278.0,111.0,923.0,262.2,900.6
1816,242.0,132.0,1033.0,273.0,1012.6
1817,322.0,132.0,1223.0,270.0,1125.8
1818,230.0,325.0,1128.0,284.6,1213.6
1819,278.0,84.0,1322.0,264.0,1234.2
1820,351.0,311.0,1362.0,256.4,1228.0
1821,139.0,365.0,1136.0,255.8,1228.8
1822,284.0,228.0,1192.0,236.6,1174.2
1823,227.0,287.0,1132.0,211.2,1109.6
1824,182.0,265.0,1049.0,219.2,1068.0
1825,224.0,234.0,1039.0,214.8,1018.4
1826,179.0,290.0,928.0,169.4,907.0
1827,262.0,246.0,944.0,144.8,821.0
1828,0.0,369.0,575.0,112.6,723.4
1829,59.0,15.0,619.0,79.4,630.2
1830,63.0,131.0,551.0,27.0,502.6
1831,13.0,102.0,462.0,27.2,448.8
1832,0.0,156.0,306.0,31.8,401.4
1833,1.0,1.0,306.0,56.8,390.8
1834,82.0,6.0,382.0,89.4,415.0
1835,188.0,72.0,498.0,116.6,469.6
1836,176.0,91.0,583.0,147.2,530.8
1837,136.0,140.0,579.0,157.6,583.4
1838,154.0,121.0,612.0,157.4,633.0
1839,134.0,101.0,645.0,163.8,674.4
1840,187.0,86.0,746.0,176.2,723.4
1841,208.0,164.0,790.0,176.4,767.6
1842,198.0,164.0,824.0,187.4,813.2
1843,155.0,146.0,833.0,177.6,838.8
1844,189.0,149.0,873.0,140.0,820.6
1845,138.0,137.0,874.0,138.8,805.0
1846,20.0,195.0,699.0,146.6,815.4
1847,192.0,145.0,746.0,146.2,815.2
1848,194.0,55.0,885.0,141.4,804.2
1849,187.0,200.0,872.0,156.6,763.4
1850,114.0,167.0,819.0,160.4,749.4
1851,96.0,420.0,495.0,156.2,727.0
1852,211.0,30.0,676.0,152.2,702.2
1853,173.0,76.0,773.0,155.4,680.2
1854,167.0,192.0,748.0,160.0,717.2
1855,130.0,169.0,709.0,148.6,689.6
1856,119.0,148.0,680.0,150.2,652.6
1857,154.0,296.0,538.0,131.8,605.4
1858,181.0,131.0,588.0,137.8,586.8
1859,75.0,151.0,512.0,153.0,600.2
1860,160.0,56.0,616.0,142.6,632.8
1861,195.0,64.0,747.0,139.8,659.6
1862,102.0,148.0,701.0,142.4,687.6
1863,167.0,146.0,722.0,132.2,690.8
1864,88.0,158.0,652.0,110.8,656.2
1865,109.0,129.0,632.0,106.2,619.0
1866,88.0,146.0,574.0,101.6,581.4
1867,79.0,138.0,515.0,106.4,557.2
1868,144.0,125.0,534.0,108.2,531.8
1869,112.0,115.0,531.0,120.0,525.6
1870,118.0,144.0,505.0,132.0,538.8
1871,147.0,109.0,543.0,131.2,552.4
1872,139.0,101.0,581.0,134.0,562.4
1873,140.0,119.0,602.0,132.2,575.4
1874,126.0,147.0,581.0,121.2,575.8
1875,109.0,120.0,570.0,115.2,565.6
1876,92.0,117.0,545.0,108.2,551.8
1877,109.0,124.0,530.0,106.2,539.8
1878,105.0,102.0,533.0,109.4,527.8
1879,116.0,128.0,521.0,114.6,523.2
1880,125.0,136.0,510.0,117.4,526.6
1881,118.0,106.0,522.0,123.4,538.6
1882,123.0,98.0,547.0,122.0,554.4
1883,135.0,89.0,593.0,122.2,570.6
1884,109.0,102.0,600.0,151.0,612.2
1885,126.0,135.0,591.0,155.8,642.4
1886,262.0,123.0,730.0,170.6,676.4
1887,147.0,179.0,698.0,185.4,704.8
1888,209.0,144.0,763.0,199.0,739.6
1889,183.0,204.0,742.0,180.8,748.4
1890,194.0,171.0,765.0,189.4,769.8
1891,171.0,162.0,774.0,186.2,783.4
1892,190.0,159.0,805.0,192.2,805.0
1893,193.0,167.0,831.0,206.4,834.4
1894,213.0,194.0,850.0,201.0,846.4
1895,265.0,203.0,912.0,212.0,864.8
1896,144.0,222.0,834.0,219.8,881.2
1897,245.0,182.0,897.0,229.2,902.2
1898,232.0,216.0,913.0,227.0,914.0
1899,260.0,218.0,955.0,227.4,922.8
1900,254.0,238.0,971.0,211.4,904.8
1901,146.0,239.0,878.0,196.6,877.4
1902,165.0,236.0,807.0,186.0,846.4
1903,158.0,189.0,776.0,184.4,818.2
1904,207.0,183.0,800.0,212.2,825.2
1905,246.0,216.0,830.0,238.0,864.8
1906,285.0,202.0,913.0,268.0,920.4
1907,294.0,202.0,1005.0,286.6,981.0
1908,308.0,259.0,1054.0,264.6,983.6
1909,300.0,251.0,1103.0,210.4,897.4
1910,136.0,396.0,843.0,170.0,805.4
1911,14.0,375.0,482.0,116.6,666.2
1912,92.0,29.0,545.0,58.0,490.4
1913,41.0,228.0,358.0,31.6,350.2
1914,7.0,141.0,224.0,29.8,273.0
1915,4.0,86.0,142.0,11.8,175.8
1916,5.0,51.0,96.0,3.6,113.0
1917,2.0,39.0,59.0,2.2,74.6
1918,0.0,15.0,44.0,1.4,50.8
1919,0.0,12.0,32.0,0.4,34.6
1920,0.0,9.0,23.0,0.0,25.2
1921,0.0,8.0,15.0,0.0,18.4
1923,0.0,3.0,12.0,0.0,13.4
1924,0.0,2.0,10.0,0.0,10.0
1926,0.0,3.0,7.0,0.0,7.2
1927,0.0,1.0,6.0,,
1928,0.0,5.0,1.0,,
